序号,时间(s),幅值(高频80K)
1,0.120,6143.46
2,0.388,6146.52
3,0.655,6140.83
4,0.923,6139.70
5,1.192,6139.47
6,1.461,6142.19
7,1.729,6137.95
8,1.998,6140.45
9,2.266,6138.60
10,2.535,6140.60
11,2.802,6136.32
12,3.070,6139.61
13,3.338,6140.17
14,3.605,6141.18
15,3.874,6137.16
16,4.141,6141.88
17,4.410,6137.27
18,4.679,6143.16
19,4.946,6171.14
20,5.215,6209.11
21,5.484,6217.46
22,5.752,6219.76
23,6.021,6221.43
24,6.288,6186.70
25,6.557,6149.20
26,6.825,6149.24
27,7.092,6146.12
28,7.360,6149.49
29,7.629,6149.67
30,7.897,6148.16
31,8.165,6151.45
32,8.434,6175.23
33,8.703,6185.88
34,8.972,6187.67
35,9.241,6191.48
36,9.509,6185.80
37,9.777,6185.70
38,10.045,6190.17
39,10.313,6190.56
40,10.581,6154.02
41,10.849,6157.09
42,11.117,6153.75
43,11.386,6156.50
44,11.654,6154.89
45,11.922,6151.41
46,12.190,6156.95
47,12.458,6156.84
48,12.726,6157.13
49,12.994,6177.03
50,13.262,6182.87
51,13.530,6172.32
52,13.798,6177.57
53,14.066,6172.20
54,14.335,6175.96
55,14.602,6174.42
56,14.871,6147.35
57,15.140,6145.96
58,15.408,6143.08
59,15.676,6147.07
60,15.943,6144.84
61,16.212,6144.64
62,16.480,6144.57
63,16.749,6146.71
64,17.017,6149.90
65,17.285,6154.46
66,17.553,6185.38
67,17.820,6211.10
68,18.089,6204.08
69,18.356,6202.96
70,18.624,6211.66
71,18.893,6211.46
72,19.161,6207.52
73,19.429,6211.91
74,19.697,6204.86
75,19.965,6144.77
76,20.234,6143.24
77,20.502,6142.60
78,20.772,6141.99
79,21.039,6143.74
80,21.307,6142.72
81,21.575,6144.59
82,21.843,6182.18
83,22.111,6179.65
84,22.379,6184.09
85,22.647,6181.93
86,22.915,6183.96
87,23.183,6181.44
88,23.452,6179.18
89,23.719,6182.21
90,23.987,6145.00
91,24.256,6142.14
92,24.523,6144.34
93,24.791,6145.28
94,25.059,6141.82
95,25.327,6150.06
96,25.595,6146.37
97,25.863,6143.83
98,26.131,6142.66
99,26.399,6167.08
100,26.668,6172.53
101,26.936,6171.08
102,27.205,6170.88
103,27.474,6169.19
104,27.742,6173.37
105,28.011,6167.61
106,28.279,6162.01
107,28.548,6140.29
108,28.816,6140.54
109,29.084,6139.28
110,29.352,6138.98
111,29.620,6138.89
112,29.887,6141.37
113,30.156,6137.45
114,30.424,6140.17
115,30.692,6144.53
116,30.960,6161.98
117,31.228,6174.41
118,31.496,6176.11
119,31.764,6176.72
120,32.032,6173.48
121,32.300,6160.75
122,32.568,6137.84
123,32.836,6136.49
124,33.104,6132.58
125,33.372,6135.23
126,33.640,6135.66
127,33.908,6134.06
128,34.176,6140.52
129,34.444,6134.03
130,34.712,6134.55
131,34.979,6140.06
132,35.247,6137.46
133,35.515,6137.58
134,35.784,6136.19
135,36.052,6194.74
136,36.320,6190.25
137,36.587,6199.07
138,36.856,6199.92
139,37.125,6197.84
140,37.394,6204.27
141,37.661,6143.06
142,37.929,6139.13
143,38.197,6135.26
144,38.466,6134.31
145,38.734,6135.12
146,39.002,6143.44
147,39.270,6137.30
148,39.539,6145.02
149,39.806,6173.52
150,40.074,6190.02
151,40.342,6177.97
152,40.611,6191.76
153,40.880,6190.87
154,41.150,6198.66
155,41.418,6202.14
156,41.686,6206.91
157,41.954,6145.46
158,42.222,6141.37
159,42.491,6138.20
160,42.759,6145.62
161,43.028,6141.35
162,43.296,6139.54
163,43.564,6145.94
164,43.832,6147.07
165,44.100,6133.65
166,44.368,6174.41
167,44.636,6182.42
168,44.904,6185.48
169,45.171,6184.33
170,45.440,6188.57
171,45.708,6183.76
172,45.976,6191.05
173,46.244,6186.68
174,46.512,6186.34
175,46.780,6142.52
176,47.047,6140.90
177,47.316,6141.20
178,47.584,6143.05
179,47.851,6142.43
180,48.120,6141.95
181,48.388,6142.47
182,48.656,6143.33
183,48.924,6135.43
184,49.191,6154.05
185,49.460,6186.53
186,49.727,6201.17
187,49.996,6203.35
188,50.264,6196.29
189,50.531,6182.36
190,50.800,6188.99
191,51.069,6154.80
192,51.337,6141.83
193,51.605,6147.27
194,51.873,6141.61
195,52.142,6139.57
