序号,时间(s),幅值(高频80K)
1,0.250,5783.28
2,0.518,5782.60
3,0.786,5782.50
4,1.055,5781.81
5,1.324,5780.41
6,1.593,5781.56
7,1.861,5781.60
8,2.130,5781.11
9,2.399,5780.54
10,2.668,5783.52
11,2.937,5781.17
12,3.206,5780.59
13,3.474,5781.49
14,3.743,5784.60
15,4.012,5782.72
16,4.281,5782.81
17,4.549,5782.79
18,4.816,5783.44
19,5.086,5781.02
20,5.354,5778.96
21,5.622,5784.79
22,5.891,5784.87
23,6.160,5782.60
24,6.429,5781.87
25,6.697,5780.06
26,6.965,5784.75
27,7.233,5781.13
28,7.502,5784.17
29,7.770,5784.28
30,8.038,5783.78
31,8.306,5786.24
32,8.574,5781.78
33,8.842,5781.86
34,9.109,5779.59
35,9.378,5781.59
36,9.647,5779.66
37,9.915,5780.15
38,10.183,5777.29
39,10.450,5774.83
40,10.718,5777.72
41,10.986,5774.85
42,11.255,5775.58
43,11.524,5775.89
44,11.791,5777.45
45,12.060,5776.76
46,12.328,5775.29
47,12.597,5774.72
48,12.865,5769.60
49,13.133,5769.89
50,13.401,5766.32
51,13.669,5759.96
52,13.937,5762.24
53,14.207,5763.65
54,14.476,5763.58
55,14.745,5759.92
56,15.013,5759.70
57,15.282,5758.36
58,15.550,5759.23
59,15.819,5759.55
60,16.088,5758.42
61,16.356,5759.87
62,16.625,5761.12
63,16.893,5757.38
64,17.162,5760.97
65,17.430,5760.86
66,17.699,5760.24
67,17.968,5758.99
68,18.236,5759.99
69,18.504,5757.12
70,18.772,5761.13
71,19.040,5761.00
72,19.308,5760.39
73,19.576,5761.32
74,19.844,5760.89
75,20.113,5761.25
76,20.382,5760.95
77,20.650,5761.31
78,20.918,5764.34
79,21.186,5764.01
80,21.454,5761.57
81,21.722,5765.68
82,21.992,5763.73
83,22.260,5770.07
84,22.528,5769.25
85,22.796,5786.09
86,23.064,5800.63
87,23.333,5802.51
88,23.601,5802.85
89,23.869,5802.55
90,24.138,5800.34
91,24.406,5801.67
92,24.675,5800.76
93,24.943,5798.69
94,25.212,5798.54
95,25.480,5800.00
96,25.747,5802.81
97,26.015,5800.25
98,26.284,5803.82
99,26.553,5798.48
100,26.821,5784.03
101,27.088,5764.20
102,27.358,5761.20
103,27.626,5759.83
104,27.894,5758.42
105,28.162,5769.08
106,28.430,5762.03
107,28.699,5759.30
108,28.966,5760.17
109,29.234,5763.55
110,29.502,5760.02
111,29.772,5757.60
112,30.041,5755.34
113,30.310,5749.70
114,30.578,5754.74
115,30.844,5755.43
116,31.112,5753.21
117,31.381,5754.32
118,31.649,5755.26
119,31.917,5750.34
120,32.186,5748.64
121,32.454,5751.41
122,32.723,5752.84
123,32.991,5750.01
124,33.259,5752.55
125,33.528,5749.33
126,33.797,5749.90
127,34.065,5751.29
128,34.333,5751.18
129,34.602,5748.24
130,34.870,5750.78
131,35.138,5747.94
132,35.406,5748.10
133,35.674,5748.62
134,35.942,5750.17
135,36.210,5750.29
136,36.478,5745.84
137,36.747,5751.09
138,37.016,5749.83
139,37.284,5752.76
140,37.553,5751.23
141,37.821,5749.01
142,38.088,5751.06
143,38.356,5747.84
144,38.627,5742.45
145,38.894,5746.58
146,39.163,5748.28
147,39.431,5749.80
148,39.700,5752.81
149,39.967,5746.81
150,40.236,5746.80
151,40.504,5751.50
152,40.772,5756.01
153,41.040,5770.60
154,41.309,5799.90
155,41.576,5800.14
156,41.844,5803.50
157,42.111,5802.38
158,42.379,5803.67
159,42.648,5808.02
160,42.915,5807.15
161,43.183,5804.38
162,43.452,5807.27
163,43.719,5805.33
164,43.987,5806.26
165,44.256,5814.35
166,44.524,5812.38
167,44.792,5812.91
168,45.061,5795.84
169,45.329,5762.10
170,45.597,5761.42
171,45.864,5763.50
172,46.133,5759.88
173,46.402,5761.67
174,46.670,5759.98
175,46.938,5761.88
176,47.207,5759.15
177,47.474,5756.58
178,47.742,5763.42
179,48.011,5757.48
180,48.278,5758.21
181,48.546,5759.73
182,48.814,5762.85
183,49.082,5764.38
184,49.351,5765.33
185,49.619,5765.36
186,49.887,5764.09
187,50.156,5764.75
188,50.424,5763.67
189,50.693,5765.48
190,50.961,5767.79
191,51.229,5771.05
192,51.497,5765.62
193,51.765,5765.63
194,52.032,5766.85
195,52.301,5766.64
196,52.569,5770.81
197,52.838,5767.05
198,53.106,5770.30
199,53.375,5765.94
200,53.644,5766.36
201,53.912,5768.73
202,54.181,5769.69
203,54.448,5770.80
204,54.715,5774.60
205,54.983,5805.43
206,55.253,5806.18
207,55.520,5804.05
208,55.788,5804.07
209,56.057,5804.68
210,56.325,5804.99
211,56.592,5805.37
212,56.861,5803.49
213,57.129,5806.50
214,57.398,5806.65
215,57.665,5806.36
216,57.934,5806.66
217,58.202,5808.57
218,58.471,5806.46
219,58.738,5807.55
220,59.007,5806.41
221,59.275,5796.48
222,59.543,5777.69
223,59.813,5772.78
224,60.082,5773.95
225,60.350,5774.35
226,60.619,5774.18
227,60.887,5774.56
228,61.155,5775.94
229,61.423,5773.32
230,61.691,5777.87
231,61.960,5777.07
232,62.227,5778.48
233,62.495,5776.20
234,62.763,5776.73
235,63.031,5782.61
236,63.300,5780.00
237,63.568,5777.57
238,63.836,5778.64
239,64.105,5772.58
240,64.374,5777.73
241,64.641,5777.34
242,64.909,5781.33
243,65.177,5776.08
244,65.445,5774.68
245,65.713,5774.17
246,65.982,5776.34
247,66.250,5772.05
248,66.518,5773.36
249,66.787,5775.85
250,67.056,5779.03
251,67.323,5774.85
252,67.590,5771.91
253,67.858,5774.50
254,68.127,5773.74
255,68.395,5775.55
256,68.663,5770.22
257,68.932,5775.66
258,69.199,5770.81
259,69.468,5780.81
260,69.736,5781.44
261,70.004,5785.41
262,70.272,5850.07
263,70.540,5880.86
264,70.808,5870.99
265,71.077,5868.59
266,71.344,5861.14
267,71.612,5876.15
268,71.881,5900.23
269,72.149,5902.08
270,72.418,5899.65
271,72.685,5886.88
272,72.955,5906.67
273,73.222,5895.06
274,73.489,5885.49
275,73.758,5881.04
276,74.026,5850.38
277,74.294,5842.66
278,74.562,5784.21
279,74.830,5767.61
280,75.097,5769.76
281,75.366,5768.80
282,75.633,5768.70
283,75.902,5768.58
284,76.171,5767.90
285,76.440,5768.92
286,76.709,5769.20
287,76.977,5769.69
288,77.246,5768.99
289,77.513,5769.72
290,77.782,5770.57
291,78.051,5769.91
292,78.320,5769.74
293,78.589,5770.42
294,78.858,5768.99
295,79.125,5769.26
296,79.394,5770.09
297,79.663,5771.96
298,79.930,5772.56
299,80.199,5774.65
300,80.467,5774.39
301,80.735,5780.33
302,81.004,5779.53
303,81.272,5790.06
304,81.541,5915.81
305,81.810,5944.98
306,82.077,5932.66
307,82.345,5853.12
308,82.613,5934.81
309,82.881,5937.39
310,83.150,5945.80
311,83.418,5942.26
312,83.686,5956.99
313,83.954,5951.04
314,84.222,5945.66
315,84.491,5948.34
316,84.759,5948.82
317,85.028,5816.38
318,85.296,5782.82
319,85.565,5774.69
320,85.833,5777.72
321,86.102,5776.06
322,86.370,5775.44
323,86.639,5773.61
324,86.907,5772.38
325,87.175,5777.05
326,87.443,5777.42
327,87.712,5775.83
328,87.981,5774.26
329,88.250,5775.05
330,88.519,5774.11
331,88.788,5777.03
332,89.056,5776.13
333,89.325,5776.13
334,89.592,5770.29
335,89.861,5765.48
336,90.130,5770.00
337,90.400,5765.93
338,90.667,5767.23
339,90.937,5763.35
340,91.205,5763.66
341,91.472,5768.63
342,91.740,5769.70
343,92.009,5770.99
344,92.277,5772.71
345,92.544,5784.52
346,92.813,5807.93
347,93.082,5807.49
348,93.350,5808.36
349,93.618,5807.37
350,93.887,5808.17
351,94.154,5794.10
352,94.422,5799.19
353,94.690,5802.83
354,94.959,5804.17
355,95.226,5808.30
356,95.494,5802.88
357,95.763,5802.55
358,96.031,5788.25
359,96.299,5769.81
360,96.567,5764.52
361,96.835,5764.80
362,97.103,5763.54
363,97.371,5763.28
364,97.641,5767.34
365,97.910,5767.66
366,98.178,5765.60
367,98.446,5763.41
368,98.715,5763.96
369,98.984,5763.77
370,99.252,5762.96
371,99.520,5765.31
372,99.789,5764.93
373,100.056,5764.77
374,100.324,5766.63
375,100.592,5761.70
376,100.860,5765.93
377,101.127,5761.18
378,101.395,5765.07
379,101.663,5761.00
380,101.931,5764.23
381,102.199,5767.11
382,102.468,5763.62
383,102.735,5761.36
384,103.003,5761.83
385,103.271,5763.86
386,103.539,5764.37
387,103.806,5763.40
388,104.074,5763.97
389,104.344,5763.67
390,104.612,5770.15
391,104.880,5773.38
392,105.147,5806.28
393,105.416,5808.94
394,105.684,5804.50
395,105.952,5805.42
396,106.220,5807.09
397,106.489,5806.12
398,106.757,5807.02
399,107.026,5798.28
400,107.295,5784.31
401,107.562,5765.85
402,107.831,5760.46
403,108.099,5759.51
404,108.368,5760.73
405,108.635,5761.19
406,108.904,5761.02
407,109.173,5758.72
408,109.440,5760.37
409,109.708,5760.98
410,109.976,5853.02
411,110.244,5921.24
412,110.513,5911.16
413,110.781,5903.29
414,111.051,5905.29
415,111.318,5912.04
416,111.586,5923.63
417,111.855,5927.94
418,112.124,5930.17
419,112.391,5931.71
420,112.659,5930.84
421,112.927,5935.19
422,113.195,5922.97
423,113.463,5936.61
424,113.731,5786.61
425,113.999,5771.62
426,114.267,5761.67
427,114.535,5759.12
428,114.803,5761.76
429,115.071,5760.83
430,115.339,5755.12
431,115.607,5758.85
432,115.875,5765.55
433,116.144,5760.71
