序号,时间(s),电压(V)
1,0.02400000,-2.480000
2,0.02800000,-2.840000
3,0.03200000,-2.200000
4,0.03600000,-2.600000
5,0.04000000,-2.200000
6,0.04400000,-2.600000
7,0.04800000,-2.200000
8,0.05200000,-2.920000
9,0.05600000,-2.160000
10,0.06000000,-2.720000
11,0.06400000,-2.440000
12,0.06800000,-2.760000
13,0.07200000,-2.400000
14,0.07600000,-2.600000
15,0.08000000,-2.400000
16,0.08400000,-2.640000
17,0.08800000,-2.480000
18,0.09200000,-2.720000
19,0.09600000,-2.160000
20,0.10000000,-2.640000
21,0.10400000,-2.400000
22,0.10800000,-2.920000
23,0.11200000,-2.280000
24,0.11600000,-2.640000
25,0.12000000,-2.440000
26,0.12400000,-2.680000
27,0.12800000,-2.360000
28,0.13200000,-2.760000
29,0.13600000,-2.400000
30,0.14000000,-2.600000
31,0.14400000,-2.200000
32,0.14800000,-2.840000
33,0.15200000,-2.400000
34,0.15600000,-2.920000
35,0.16000000,-2.080000
36,0.16400000,-2.600000
37,0.16800000,-2.320000
38,0.17200000,-2.680000
39,0.17600000,-2.320000
40,0.18000000,-2.560000
41,0.18400000,-2.400000
42,0.18800000,-2.720000
43,0.19200000,-2.200000
44,0.19600000,-2.600000
45,0.20000000,-2.280000
46,0.20400000,-2.680000
47,0.20800000,-2.400000
48,0.21200000,-2.640000
49,0.21600000,-2.320000
50,0.22000000,-2.680000
51,0.22400000,-2.360000
52,0.22800000,-2.680000
53,0.23200000,-2.360000
54,0.23600000,-2.600000
55,0.24000000,-2.040000
56,0.24400000,-2.720000
57,0.24800000,-2.160000
58,0.25200000,-2.760000
59,0.25600000,-2.280000
60,0.26000000,-2.680000
61,0.26400000,-2.360000
62,0.26800000,-2.680000
63,0.27200000,-2.400000
64,0.27600000,-2.600000
65,0.28000000,-2.360000
66,0.28400000,-2.680000
67,0.28800000,-2.200000
68,0.29200000,-2.680000
69,0.29600000,-2.320000
70,0.30000000,-2.920000
71,0.30400000,-2.360000
72,0.30800000,-2.720000
73,0.31200000,-2.400000
74,0.31600000,-2.600000
75,0.32000000,-2.240000
76,0.32400000,-2.640000
77,0.32800000,-2.400000
78,0.33200000,-2.760000
79,0.33600000,-2.160000
80,0.34000000,-2.480000
81,0.34400000,-2.200000
82,0.34800000,-2.680000
83,0.35200000,-2.120000
84,0.35600000,-2.600000
85,0.36000000,-2.360000
86,0.36400000,-2.720000
87,0.36800000,-2.400000
88,0.37200000,-2.600000
89,0.37600000,-2.400000
90,0.38000000,-2.600000
91,0.38400000,-2.320000
92,0.38800000,-2.720000
93,0.39200000,-2.480000
94,0.39600000,-2.800000
95,0.40000000,-2.160000
96,0.40400000,-2.800000
97,0.40800000,-2.360000
98,0.41200000,-2.720000
99,0.41600000,-2.440000
100,0.42000000,-2.680000
101,0.42400000,-2.160000
102,0.42800000,-2.640000
103,0.43200000,-2.320000
104,0.43600000,-2.880000
105,0.44000000,-2.120000
106,0.44400000,-2.800000
107,0.44800000,-2.520000
108,0.45200000,-2.840000
109,0.45600000,-2.160000
110,0.46000000,-2.600000
111,0.46400000,-2.320000
112,0.46800000,-2.680000
113,0.47200000,-2.240000
114,0.47600000,-2.600000
115,0.48000000,-2.400000
116,0.48400000,-2.720000
117,0.48800000,-2.400000
118,0.49200000,-2.680000
119,0.49600000,-2.400000
120,0.50000000,-2.680000
121,0.50400000,-2.320000
122,0.50800000,-2.720000
123,0.51200000,-2.400000
124,0.51600000,-2.920000
125,0.52000000,-2.200000
126,0.52400000,-2.920000
127,0.52800000,-2.200000
128,0.53200000,-2.760000
129,0.53600000,-2.360000
130,0.54000000,-2.680000
131,0.54400000,-2.400000
132,0.54800000,-2.800000
133,0.55200000,-2.400000
134,0.55600000,-2.680000
135,0.56000000,-2.400000
136,0.56400000,-2.760000
137,0.56800000,-2.320000
138,0.57200000,-2.640000
139,0.57600000,-2.160000
140,0.58000000,-2.680000
141,0.58400000,-2.200000
142,0.58800000,-2.640000
143,0.59200000,-2.440000
144,0.59600000,-2.840000
145,0.60000000,-2.400000
146,0.60400000,-2.760000
147,0.60800000,-2.520000
148,0.61200000,-2.680000
149,0.61600000,-2.280000
150,0.62000000,-2.680000
151,0.62400000,-2.160000
152,0.62800000,-2.640000
153,0.63200000,-2.360000
154,0.63600000,-2.800000
155,0.64000000,-2.400000
156,0.64400000,-2.680000
157,0.64800000,-2.400000
158,0.65200000,-2.800000
159,0.65600000,-2.280000
160,0.66000000,-2.800000
161,0.66400000,-2.400000
162,0.66800000,-2.640000
163,0.67200000,-2.320000
164,0.67600000,-2.600000
165,0.68000000,-2.320000
166,0.68400000,-2.600000
167,0.68800000,-2.400000
168,0.69200000,-2.680000
169,0.69600000,-2.400000
170,0.70000000,-2.680000
171,0.70400000,-2.320000
172,0.70800000,-2.720000
173,0.71200000,-2.320000
174,0.71600000,-2.840000
175,0.72000000,-2.320000
176,0.72400000,-2.680000
177,0.72800000,-2.400000
178,0.73200000,-2.680000
179,0.73600000,-2.160000
