序号,时间(s),电压(V)
1,0.02400000,-1.160000
2,0.02800000,-3.120000
3,0.03200000,-2.080000
4,0.03600000,-4.520000
5,0.04000000,-0.960000
6,0.04400000,-2.240000
7,0.04800000,-2.440000
8,0.05200000,-4.280000
9,0.05600000,-1.760000
10,0.06000000,-4.160000
11,0.06400000,-1.120000
12,0.06800000,-3.280000
13,0.07200000,-2.440000
14,0.07600000,-4.240000
15,0.08000000,-1.120000
16,0.08400000,-2.160000
17,0.08800000,-2.680000
18,0.09200000,-4.200000
19,0.09600000,-1.760000
20,0.10000000,-3.520000
21,0.10400000,-1.080000
22,0.10800000,-3.280000
23,0.11200000,-2.200000
24,0.11600000,-4.520000
25,0.12000000,-1.160000
26,0.12400000,-2.400000
27,0.12800000,-2.400000
28,0.13200000,-4.120000
29,0.13600000,-1.920000
30,0.14000000,-3.600000
31,0.14400000,-1.160000
32,0.14800000,-3.320000
33,0.15200000,-1.960000
34,0.15600000,-4.200000
35,0.16000000,-0.880000
36,0.16400000,-1.960000
37,0.16800000,-1.800000
38,0.17200000,-4.360000
39,0.17600000,-1.840000
40,0.18000000,-3.520000
41,0.18400000,-1.040000
42,0.18800000,-3.360000
43,0.19200000,-2.160000
44,0.19600000,-4.320000
45,0.20000000,-0.960000
46,0.20400000,-2.160000
47,0.20800000,-2.480000
48,0.21200000,-4.080000
49,0.21600000,-1.720000
50,0.22000000,-3.760000
51,0.22400000,-1.040000
52,0.22800000,-3.320000
53,0.23200000,-1.920000
54,0.23600000,-4.440000
55,0.24000000,-0.920000
56,0.24400000,-2.040000
57,0.24800000,-2.360000
58,0.25200000,-4.240000
59,0.25600000,-1.760000
60,0.26000000,-3.520000
61,0.26400000,-0.720000
62,0.26800000,-3.040000
63,0.27200000,-2.440000
64,0.27600000,-3.920000
65,0.28000000,-1.040000
66,0.28400000,-1.960000
67,0.28800000,-2.400000
68,0.29200000,-4.160000
69,0.29600000,-1.520000
70,0.30000000,-3.600000
71,0.30400000,-1.040000
72,0.30800000,-3.040000
73,0.31200000,-2.320000
74,0.31600000,-4.120000
75,0.32000000,-0.680000
76,0.32400000,-2.160000
77,0.32800000,-2.680000
78,0.33200000,-3.960000
79,0.33600000,-1.440000
80,0.34000000,-3.680000
81,0.34400000,-0.760000
82,0.34800000,-3.320000
83,0.35200000,-2.440000
84,0.35600000,-3.920000
85,0.36000000,-0.720000
86,0.36400000,-2.160000
87,0.36800000,-2.040000
88,0.37200000,-4.040000
89,0.37600000,-1.520000
90,0.38000000,-3.720000
91,0.38400000,-0.760000
92,0.38800000,-3.240000
93,0.39200000,-2.400000
94,0.39600000,-4.040000
95,0.40000000,-0.640000
96,0.40400000,-2.080000
97,0.40800000,-2.560000
98,0.41200000,-3.880000
99,0.41600000,-1.600000
100,0.42000000,-3.720000
101,0.42400000,-0.400000
102,0.42800000,-3.200000
103,0.43200000,-2.080000
104,0.43600000,-4.280000
105,0.44000000,-0.880000
106,0.44400000,-2.320000
107,0.44800000,-2.440000
108,0.45200000,-4.080000
109,0.45600000,-1.600000
110,0.46000000,-3.840000
111,0.46400000,-0.640000
112,0.46800000,-3.200000
113,0.47200000,-2.160000
114,0.47600000,-4.200000
115,0.48000000,-0.880000
116,0.48400000,-2.240000
117,0.48800000,-2.400000
118,0.49200000,-4.080000
119,0.49600000,-1.800000
120,0.50000000,-3.800000
121,0.50400000,-0.600000
122,0.50800000,-3.000000
123,0.51200000,-2.320000
124,0.51600000,-4.040000
125,0.52000000,-0.280000
126,0.52400000,-2.160000
127,0.52800000,-2.160000
128,0.53200000,-4.200000
129,0.53600000,-1.520000
130,0.54000000,-3.920000
131,0.54400000,-0.440000
132,0.54800000,-3.160000
133,0.55200000,-2.200000
134,0.55600000,-4.160000
135,0.56000000,-0.880000
136,0.56400000,-2.560000
137,0.56800000,-2.320000
138,0.57200000,-4.000000
139,0.57600000,-1.640000
140,0.58000000,-4.080000
141,0.58400000,-0.640000
142,0.58800000,-3.120000
143,0.59200000,-2.160000
144,0.59600000,-3.800000
145,0.60000000,-1.040000
146,0.60400000,-2.400000
147,0.60800000,-2.320000
148,0.61200000,-3.280000
149,0.61600000,-2.200000
150,0.62000000,-2.920000
151,0.62400000,-2.040000
152,0.62800000,-2.720000
153,0.63200000,-2.160000
154,0.63600000,-2.760000
155,0.64000000,-2.000000
156,0.64400000,-2.560000
157,0.64800000,-2.160000
158,0.65200000,-2.720000
159,0.65600000,-2.240000
160,0.66000000,-2.920000
161,0.66400000,-2.160000
162,0.66800000,-2.640000
163,0.67200000,-2.200000
164,0.67600000,-2.640000
165,0.68000000,-2.160000
166,0.68400000,-2.600000
167,0.68800000,-2.160000
168,0.69200000,-2.640000
169,0.69600000,-2.360000
170,0.70000000,-2.600000
171,0.70400000,-2.160000
172,0.70800000,-2.680000
173,0.71200000,-2.080000
174,0.71600000,-2.640000
175,0.72000000,-2.080000
176,0.72400000,-2.640000
177,0.72800000,-2.120000
178,0.73200000,-2.560000
179,0.73600000,-2.200000
180,0.74000000,-2.600000
181,0.74400000,-2.240000
182,0.74800000,-2.640000
183,0.75200000,-2.200000
184,0.75600000,-2.600000
185,0.76000000,-2.200000
186,0.76400000,-2.440000
187,0.76800000,-2.320000
188,0.77200000,-2.600000
189,0.77600000,-2.040000
190,0.78000000,-2.560000
191,0.78400000,-2.160000
192,0.78800000,-2.600000
193,0.79200000,-2.320000
194,0.79600000,-2.720000
195,0.80000000,-2.320000
196,0.80400000,-2.760000
197,0.80800000,-2.160000
198,0.81200000,-2.680000
199,0.81600000,-2.280000
200,0.82000000,-2.800000
201,0.82400000,-2.240000
202,0.82800000,-2.800000
203,0.83200000,-2.280000
204,0.83600000,-2.840000
205,0.84000000,-2.160000
206,0.84400000,-2.640000
207,0.84800000,-2.040000
208,0.85200000,-2.680000
209,0.85600000,-2.320000
210,0.86000000,-2.520000
211,0.86400000,-2.360000
212,0.86800000,-2.600000
213,0.87200000,-2.200000
214,0.87600000,-2.560000
215,0.88000000,-2.400000
216,0.88400000,-2.680000
217,0.88800000,-2.280000
218,0.89200000,-2.640000
219,0.89600000,-2.240000
220,0.90000000,-2.760000
221,0.90400000,-2.200000
222,0.90800000,-2.640000
223,0.91200000,-2.320000
224,0.91600000,-2.640000
225,0.92000000,-2.160000
226,0.92400000,-2.560000
227,0.92800000,-2.400000
228,0.93200000,-2.920000
229,0.93600000,-2.160000
230,0.94000000,-2.840000
231,0.94400000,-2.200000
232,0.94800000,-2.880000
233,0.95200000,-2.280000
234,0.95600000,-2.680000
235,0.96000000,-2.160000
236,0.96400000,-2.560000
237,0.96800000,-2.320000
238,0.97200000,-2.680000
239,0.97600000,-2.160000
240,0.98000000,-2.640000
241,0.98400000,-2.280000
242,0.98800000,-2.680000
243,0.99200000,-2.160000
244,0.99600000,-2.760000
245,1.00000000,-2.160000
246,1.00400000,-2.560000
247,1.00800000,-2.160000
248,1.01200000,-2.640000
249,1.01600000,-2.080000
250,1.02000000,-2.840000
251,1.02400000,-2.120000
252,1.02800000,-2.720000
253,1.03200000,-2.200000
254,1.03600000,-2.680000
255,1.04000000,-2.240000
256,1.04400000,-2.560000
257,1.04800000,-2.360000
258,1.05200000,-2.600000
259,1.05600000,-2.240000
260,1.06000000,-2.480000
261,1.06400000,-2.120000
262,1.06800000,-2.560000
263,1.07200000,-2.160000
