序号,时间(s),电压(V)
80,0.34000000,-2.640000
81,0.34400000,-2.360000
82,0.34800000,-2.600000
83,0.35200000,-2.360000
84,0.35600000,-2.760000
85,0.36000000,-2.200000
86,0.36400000,-2.920000
87,0.36800000,-2.160000
88,0.37200000,-2.920000
89,0.37600000,-2.160000
90,0.38000000,-2.920000
91,0.38400000,-2.280000
92,0.38800000,-2.680000
93,0.39200000,-2.320000
94,0.39600000,-2.800000
95,0.40000000,-2.400000
96,0.40400000,-2.600000
97,0.40800000,-2.200000
98,0.41200000,-2.600000
99,0.41600000,-2.400000
100,0.42000000,-2.840000
101,0.42400000,-2.400000
102,0.42800000,-2.600000
103,0.43200000,-2.160000
104,0.43600000,-2.760000
105,0.44000000,-2.160000
106,0.44400000,-2.600000
107,0.44800000,-2.040000
108,0.45200000,-2.880000
109,0.45600000,-2.320000
110,0.46000000,-2.920000
111,0.46400000,-2.160000
112,0.46800000,-2.680000
113,0.47200000,-2.400000
114,0.47600000,-2.800000
115,0.48000000,-2.240000
116,0.48400000,-2.800000
117,0.48800000,-2.480000
118,0.49200000,-2.840000
119,0.49600000,-2.200000
120,0.50000000,-2.960000
121,0.50400000,-2.400000
122,0.50800000,-2.720000
123,0.51200000,-2.280000
124,0.51600000,-3.520000
125,0.52000000,-2.120000
126,0.52400000,-3.120000
127,0.52800000,-2.000000
128,0.53200000,-3.680000
129,0.53600000,-2.240000
130,0.54000000,-4.200000
131,0.54400000,-1.400000
132,0.54800000,-3.280000
133,0.55200000,-2.880000
134,0.55600000,-3.960000
135,0.56000000,-1.160000
136,0.56400000,-2.800000
137,0.56800000,-1.760000
138,0.57200000,-3.360000
139,0.57600000,-2.120000
140,0.58000000,-4.080000
141,0.58400000,-1.280000
142,0.58800000,-2.720000
143,0.59200000,-2.920000
144,0.59600000,-4.120000
145,0.60000000,-0.760000
146,0.60400000,-2.560000
147,0.60800000,-1.160000
148,0.61200000,-3.560000
149,0.61600000,-1.800000
150,0.62000000,-3.960000
151,0.62400000,-1.280000
152,0.62800000,-2.920000
153,0.63200000,-2.680000
154,0.63600000,-4.000000
155,0.64000000,-1.000000
156,0.64400000,-2.560000
157,0.64800000,-1.440000
158,0.65200000,-3.400000
159,0.65600000,-1.840000
160,0.66000000,-4.080000
161,0.66400000,-1.000000
162,0.66800000,-2.800000
163,0.67200000,-2.680000
164,0.67600000,-4.000000
165,0.68000000,-0.880000
166,0.68400000,-2.960000
167,0.68800000,-1.160000
168,0.69200000,-3.320000
169,0.69600000,-1.880000
170,0.70000000,-3.960000
171,0.70400000,-1.040000
172,0.70800000,-2.720000
