序号,时间(s),电压,阻抗
1,0.022,1.267887,7339.408203
2,0.148,1.268212,7336.621094
3,0.274,1.268563,7340.778320
4,0.400,1.267637,7340.632813
5,0.526,1.268488,7342.968750
6,0.653,1.268287,7342.324707
7,0.778,1.268087,7339.226563
8,0.904,1.268438,7342.450195
9,1.030,1.268713,7341.223145
10,1.156,1.267937,7341.574707
11,1.282,1.268387,7342.615723
12,1.408,1.268237,7342.315918
13,1.534,1.268513,7341.244629
14,1.660,1.268012,7338.604492
15,1.786,1.268012,7339.933594
16,1.912,1.268362,7336.651855
17,2.039,1.267487,7341.140625
18,2.164,1.267962,7339.157715
19,2.290,1.268037,7344.897949
20,2.417,1.267637,7341.627441
21,2.542,1.267762,7341.407715
22,2.669,1.267962,7336.962402
23,2.794,1.268012,7339.026367
24,2.920,1.267737,7341.912598
25,3.046,1.268212,7340.833496
26,3.172,1.268713,7341.116211
27,3.298,1.268137,7339.518066
28,3.424,1.268412,7342.128418
29,3.550,1.268638,7340.571289
30,3.679,1.268287,7344.406738
31,3.802,1.268588,7340.320313
32,3.928,1.268312,7339.341797
33,4.054,1.268663,7339.543457
34,4.180,1.267937,7342.408691
35,4.306,1.268162,7339.917480
36,4.432,1.268588,7339.059082
37,4.558,1.268212,7342.270020
38,4.684,1.268312,7342.860352
39,4.810,1.268237,7341.756348
40,4.936,1.268438,7348.279297
41,5.062,1.267712,7339.962402
42,5.188,1.268162,7338.523438
43,5.314,1.268538,7340.725098
44,5.440,1.267937,7337.666992
45,5.566,1.268262,7340.799316
46,5.692,1.268463,7343.922852
47,5.818,1.268387,7337.993652
48,5.944,1.268287,7340.944336
49,6.070,1.268337,7339.333496
50,6.196,1.268763,7342.923828
51,6.322,1.268012,7338.422363
52,6.448,1.268112,7339.866699
53,6.574,1.268563,7342.044434
54,6.700,1.267812,7341.236816
55,6.826,1.268162,7342.512695
56,6.952,1.268362,7336.882324
57,7.078,1.268337,7340.092773
58,7.204,1.267837,7340.839844
59,7.330,1.267862,7339.851074
60,7.456,1.268538,7341.421387
61,7.582,1.267862,7342.165527
62,7.708,1.267812,7340.340332
63,7.834,1.268087,7344.861328
64,7.960,1.267937,7341.091797
65,8.086,1.267662,7339.062012
66,8.212,1.268362,7340.409668
67,8.338,1.268037,7341.547852
68,8.464,1.267712,7343.571289
69,8.590,1.268713,7341.410156
70,8.716,1.267937,7340.834473
71,8.842,1.268237,7340.674805
72,8.968,1.267912,7339.155273
73,9.094,1.268137,7343.579590
74,9.220,1.267862,7337.729492
75,9.346,1.267587,7340.940918
76,9.472,1.268187,7339.302246
77,9.598,1.268262,7342.124023
78,9.724,1.268062,7335.448242
79,9.850,1.267762,7338.337402
80,9.976,1.268513,7338.563477
81,10.102,1.268187,7339.422363
82,10.228,1.267712,7338.488281
83,10.354,1.268087,7339.142090
84,10.480,1.267862,7338.519043
85,10.606,1.267912,7339.287109
86,10.732,1.268162,7338.525391
87,10.858,1.268062,7337.339844
88,10.984,1.267862,7338.544434
89,11.110,1.268037,7339.674316
90,11.236,1.268212,7339.762695
91,11.361,1.267912,7338.556152
92,11.488,1.267687,7339.140137
93,11.614,1.268237,7339.227539
94,11.739,1.267837,7340.065430
95,11.866,1.267787,7336.036621
96,11.991,1.267762,7340.750000
97,12.118,1.268312,7337.787598
98,12.243,1.267987,7341.413086
99,12.370,1.268438,7335.864258
100,12.496,1.268763,7337.197754
101,12.621,1.267737,7340.815430
102,12.748,1.268262,7337.043945
103,12.873,1.267862,7340.629395
104,12.999,1.268412,7340.554688
105,13.126,1.267386,7339.280273
106,13.251,1.268387,7333.526855
107,13.377,1.268563,7338.373047
108,13.504,1.268312,7340.577637
109,13.630,1.268287,7339.178711
110,13.756,1.268187,7339.114746
111,13.881,1.268538,7337.139648
112,14.007,1.267637,7337.275391
113,14.133,1.268087,7338.599609
114,14.260,1.268287,7341.344238
115,14.385,1.268012,7336.101563
116,14.511,1.268387,7343.222656
117,14.638,1.268613,7339.601074
118,14.763,1.268262,7340.842773
119,14.889,1.268312,7341.116699
120,15.015,1.268763,7339.708984
121,15.141,1.268237,7342.211914
122,15.267,1.267612,7343.827637
123,15.393,1.268112,7338.248535
124,15.520,1.268788,7340.026855
125,15.646,1.268112,7340.334961
126,15.771,1.268112,7338.096191
127,15.897,1.268688,7336.266602
128,16.023,1.268362,7344.309570
129,16.149,1.267787,7339.072266
130,16.275,1.268087,7340.213867
131,16.401,1.268613,7341.712891
132,16.527,1.267987,7342.039551
133,16.653,1.268287,7335.439453
134,16.779,1.268337,7339.731445
135,16.905,1.268387,7339.835449
136,17.031,1.268137,7341.090332
137,17.158,1.268362,7339.986328
138,17.283,1.268863,7339.982910
139,17.409,1.267912,7339.485352
140,17.535,1.268337,7339.654785
141,17.661,1.268387,7341.147949
142,17.787,1.268062,7337.813477
143,17.913,1.267987,7342.315430
144,18.039,1.268738,7344.023926
145,18.165,1.268538,7337.361328
146,18.291,1.268412,7339.452148
147,18.417,1.268087,7338.326660
148,18.543,1.268087,7338.975098
149,18.669,1.267587,7337.628418
150,18.795,1.267937,7340.251465
151,18.921,1.268788,7342.609375
152,19.047,1.267937,7339.502441
153,19.173,1.268262,7335.772461
154,19.299,1.268162,7339.561523
155,19.425,1.268087,7340.320801
156,19.551,1.267712,7340.558594
157,19.677,1.267962,7340.413574
158,19.803,1.268237,7337.424316
159,19.929,1.267862,7337.857422
160,20.055,1.268137,7343.484375
161,20.181,1.267912,7336.987305
162,20.307,1.268012,7339.083984
163,20.433,1.267687,7338.040527
164,20.559,1.268187,7336.238770
165,20.685,1.268538,7338.109863
166,20.811,1.267812,7339.249512
167,20.937,1.268688,7337.353027
168,21.063,1.267837,7338.400391
169,21.189,1.268237,7337.868164
170,21.315,1.267837,7338.189453
171,21.441,1.268212,7339.965820
172,21.567,1.267812,7341.773438
173,21.693,1.267837,7337.988770
174,21.819,1.267887,7339.223145
175,21.945,1.267937,7342.955566
176,22.071,1.267912,7336.553711
177,22.197,1.267862,7343.428223
178,22.323,1.268337,7339.102051
179,22.449,1.267887,7340.966797
180,22.576,1.267637,7338.830566
181,22.701,1.268438,7338.918945
182,22.827,1.267937,7344.099121
183,22.953,1.267687,7336.377441
184,23.079,1.268187,7340.013672
185,23.205,1.268062,7338.497070
186,23.331,1.267762,7340.636719
187,23.457,1.267512,7340.779785
188,23.583,1.268062,7339.866699
189,23.709,1.268037,7339.616699
190,23.835,1.267687,7339.761230
191,23.961,1.268287,7339.313477
192,24.087,1.268387,7342.270996
193,24.213,1.268062,7341.956543
194,24.339,1.267837,7339.350098
195,24.465,1.268162,7339.019043
196,24.591,1.268312,7341.311523
197,24.717,1.267637,7338.332031
198,24.843,1.267812,7336.549805
199,24.969,1.268312,7336.580566
200,25.095,1.267662,7339.786621
201,25.221,1.268312,7339.192871
202,25.347,1.268287,7341.365723
203,25.473,1.267487,7341.462402
204,25.599,1.267762,7337.484863
205,25.725,1.267987,7335.893066
206,25.851,1.268212,7341.679688
207,25.977,1.268162,7338.247559
208,26.103,1.268112,7340.994141
209,26.229,1.268212,7338.410645
210,26.355,1.267887,7338.402832
211,26.480,1.268838,7338.401855
212,26.607,1.267787,7340.346680
213,26.733,1.267762,7336.723145
214,26.858,1.267787,7346.411621
215,26.985,1.268012,7337.355957
216,27.111,1.267712,7337.394043
217,27.237,1.267687,7336.604004
218,27.363,1.268012,7338.218262
219,27.489,1.267962,7338.705078
220,27.614,1.267812,7336.242188
221,27.741,1.267862,7338.990234
222,27.867,1.268012,7336.710938
223,27.993,1.267612,7336.124023
224,28.119,1.267812,7334.859375
225,28.245,1.267787,7338.461426
226,28.371,1.268237,7339.881348
227,28.496,1.267937,7338.631348
228,28.623,1.267587,7339.437500
229,28.748,1.267587,7343.665527
230,28.875,1.267612,7344.306641
231,29.001,1.267987,7335.827148
232,29.127,1.268112,7335.624023
233,29.252,1.267937,7337.472656
234,29.378,1.267662,7336.027832
235,29.504,1.268212,7335.312988
236,29.631,1.268387,7335.085938
237,29.757,1.267587,7337.786621
238,29.883,1.267812,7339.342773
239,30.009,1.268312,7335.794922
240,30.134,1.267937,7332.334961
241,30.261,1.267687,7336.751465
242,30.386,1.268012,7337.947754
243,30.513,1.267712,7337.729492
244,30.639,1.268112,7338.548340
245,30.764,1.267762,7336.340332
246,30.890,1.267737,7340.426270
247,31.016,1.267712,7334.365723
248,31.143,1.267862,7337.020508
249,31.269,1.268262,7338.847656
250,31.394,1.267712,7339.309570
251,31.520,1.268137,7339.677246
252,31.647,1.268087,7339.722656
253,31.772,1.267962,7336.346191
254,31.898,1.267662,7337.165039
255,32.024,1.267812,7336.428223
256,32.150,1.268212,7334.749023
257,32.276,1.267637,7341.633789
258,32.402,1.268012,7336.052246
259,32.528,1.267737,7337.368652
260,32.654,1.267762,7338.600586
261,32.780,1.267687,7335.145996
262,32.906,1.268563,7339.380371
263,33.032,1.268087,7337.172852
264,33.158,1.267361,7337.622559
265,33.284,1.268212,7339.650391
266,33.410,1.268037,7338.520996
267,33.536,1.267787,7339.775391
268,33.662,1.268187,7334.213379
269,33.789,1.268162,7337.677734
270,33.914,1.268237,7337.835449
271,34.040,1.267712,7337.838867
