序号,时间(s),电压,阻抗
188,23.665,1.272516,7301.265625
189,23.791,1.272542,7302.846680
190,23.917,1.272516,7303.260254
191,24.043,1.272917,7301.997559
192,24.170,1.273017,7301.173340
193,24.295,1.272642,7302.097656
194,24.422,1.272967,7302.271484
195,24.547,1.272642,7302.976074
196,24.674,1.272817,7302.037109
197,24.800,1.272416,7303.688477
198,24.925,1.272767,7302.574707
199,25.051,1.272516,7303.953613
200,25.179,1.272366,7304.960938
201,25.304,1.272542,7305.743164
202,25.430,1.272692,7303.329102
203,25.555,1.272817,7300.414063
204,25.681,1.273417,7300.844238
205,25.808,1.273342,7303.666016
206,25.933,1.272592,7301.144531
207,26.060,1.272717,7303.926758
208,26.189,1.273142,7301.924805
209,26.312,1.272266,7304.650879
210,26.437,1.272542,7302.863281
211,26.570,1.272867,7305.049316
212,26.689,1.272842,7301.631348
213,26.819,1.272391,7306.576172
214,26.942,1.272767,7303.091797
215,27.068,1.273292,7302.022461
216,27.196,1.272992,7304.627441
217,27.319,1.273342,7306.290527
218,27.445,1.273017,7305.589355
219,27.571,1.273067,7306.769043
220,27.697,1.272141,7306.668945
221,27.823,1.272542,7306.211426
222,27.949,1.273417,7305.224121
223,28.077,1.272717,7301.190430
224,28.201,1.272567,7312.229980
225,28.327,1.272792,7304.658691
226,28.453,1.272767,7304.904785
227,28.579,1.272617,7305.373535
228,28.705,1.273342,7309.744629
229,28.831,1.272792,7311.379395
230,28.957,1.272667,7303.921875
231,29.083,1.272642,7306.359375
232,29.209,1.272842,7305.391113
233,29.335,1.272441,7305.316895
234,29.461,1.272366,7301.958008
235,29.587,1.272542,7304.033203
236,29.713,1.272491,7308.755371
237,29.839,1.272441,7304.128906
238,29.966,1.272967,7306.575684
239,30.092,1.272617,7308.010254
240,30.217,1.272692,7306.136230
241,30.343,1.272742,7307.444824
242,30.469,1.272767,7306.920410
243,30.595,1.272617,7307.411133
244,30.721,1.272216,7304.571289
245,30.848,1.273092,7304.824707
246,30.973,1.272542,7306.510254
247,31.099,1.272416,7305.520996
248,31.227,1.272867,7309.138184
249,31.351,1.272542,7308.953125
