序号,时间(s),电压,阻抗
164,20.472,0.273642,6818.824707
165,20.597,0.273442,6819.496582
166,20.722,0.273442,6819.195801
167,20.848,0.274443,6819.409180
168,20.973,0.274067,6820.109375
169,21.098,0.272916,6818.865234
170,21.223,0.273567,6820.809570
171,21.349,0.274893,6819.467773
172,21.473,0.274293,6819.738770
173,21.597,0.273041,6819.953125
174,21.722,0.273192,6819.651855
175,21.848,0.274618,6818.980469
176,21.972,0.274393,6820.109375
177,22.098,0.272716,6819.838379
178,22.222,0.273492,6819.838867
179,22.348,0.274493,6820.995605
180,22.473,0.274568,6820.410156
181,22.598,0.272691,6819.595215
182,22.722,0.272866,6819.351563
183,22.848,0.273817,6819.795410
184,22.972,0.274268,6819.866699
185,23.097,0.273492,6819.165527
186,23.223,0.273317,6820.022949
187,23.348,0.274668,6820.021973
188,23.473,0.273692,6819.625000
189,23.598,0.272566,6819.409180
190,23.723,0.273292,6820.421875
191,23.848,0.274368,6820.624512
192,23.972,0.274293,6820.537598
193,24.097,0.273016,6821.752930
194,24.222,0.273016,6820.450195
195,24.348,0.274142,6819.994141
196,24.473,0.274668,6822.452637
197,24.597,0.273292,6821.237305
198,24.722,0.272516,6820.207520
199,24.848,0.274443,6819.235840
200,24.972,0.274243,6815.765137
201,25.097,0.272191,6814.852539
202,25.223,0.272716,6814.523438
203,25.347,0.272591,6813.155273
204,25.473,0.274993,6814.640625
205,25.598,0.273417,6814.338867
206,25.723,0.272065,6814.367676
207,25.847,0.272616,6814.523926
208,25.972,0.274893,6813.796875
209,26.098,0.273041,6814.253418
210,26.222,0.272266,6815.794922
211,26.347,0.274318,6815.581543
212,26.472,0.275093,6815.980957
213,26.597,0.273141,6815.066895
214,26.722,0.272766,6816.251465
215,26.847,0.274017,6816.251953
216,26.972,0.274793,6815.453613
217,27.097,0.273016,6815.367188
218,27.222,0.272466,6815.095703
219,27.347,0.273167,6815.039063
220,27.472,0.274543,6816.464844
221,27.597,0.273617,6814.338867
222,27.722,0.272841,6815.252930
223,27.847,0.274393,6814.709961
224,27.972,0.274518,6815.279297
225,28.097,0.273492,6815.252441
226,28.222,0.272065,6815.250488
227,28.347,0.273367,6816.010254
228,28.472,0.275168,6815.310547
229,28.597,0.274243,6815.008789
230,28.722,0.272716,6815.194336
231,28.847,0.273016,6815.407715
232,28.972,0.274618,6816.494141
233,29.098,0.273217,6816.037109
234,29.222,0.272641,6814.852539
235,29.347,0.272966,6814.408691
236,29.472,0.274493,6814.624023
237,29.597,0.273867,6814.466309
238,29.722,0.272766,6814.865234
239,29.847,0.273667,6814.952637
240,29.972,0.274868,6814.224121
241,30.097,0.273992,6814.437500
242,30.223,0.272566,6814.225098
243,30.347,0.273842,6814.407715
244,30.472,0.272115,6814.409180
245,30.597,0.273367,6814.679688
246,30.722,0.272115,6814.437500
247,30.847,0.273367,6815.106934
248,30.972,0.274918,6815.378906
249,31.098,0.274468,6814.137695
250,31.222,0.272916,6815.165039
251,31.347,0.272691,6816.165527
252,31.472,0.275444,6813.609863
253,31.597,0.273817,6813.679688
254,31.722,0.271940,6814.708984
255,31.848,0.273517,6814.494629
256,31.972,0.275569,6815.192871
257,32.097,0.274518,6814.407715
258,32.222,0.272666,6814.408203
259,32.347,0.273442,6814.923340
260,32.472,0.274768,6815.622070
261,32.597,0.274668,6816.862793
262,32.722,0.272716,6815.980957
263,32.847,0.272741,6816.408203
264,32.972,0.275244,6817.049316
265,33.097,0.274643,6817.450684
266,33.222,0.273267,6817.048828
267,33.347,0.273141,6816.805664
268,33.472,0.273592,6816.106934
269,33.597,0.274993,6814.466797
270,33.722,0.273517,6813.865723
271,33.847,0.273217,6812.865234
272,33.972,0.274868,6813.680176
273,34.097,0.274268,6813.650879
274,34.222,0.273016,6814.408691
275,34.347,0.272916,6814.166016
276,34.472,0.274818,6814.292480
277,34.597,0.274643,6815.622070
278,34.722,0.272891,6815.621094
279,34.847,0.273041,6816.193359
280,34.972,0.274543,6815.679688
281,35.097,0.274843,6815.708496
282,35.222,0.273367,6815.921875
283,35.347,0.273016,6815.621582
284,35.472,0.275118,6816.378418
285,35.597,0.272516,6815.135742
286,35.722,0.273792,6816.350586
287,35.847,0.273116,6816.649902
288,35.972,0.274243,6816.164063
289,36.097,0.275544,6815.893555
290,36.222,0.273492,6815.409180
291,36.347,0.272491,6817.563477
292,36.472,0.275219,6815.562988
293,36.597,0.275344,6817.292969
294,36.722,0.273642,6817.077148
295,36.846,0.273217,6816.836426
296,36.972,0.274218,6817.049316
297,37.096,0.275744,6816.933594
298,37.221,0.274017,6817.048340
299,37.347,0.273116,6817.562988
300,37.471,0.274393,6817.990234
301,37.597,0.275694,6817.904785
302,37.721,0.274167,6817.048828
303,37.846,0.272916,6818.447754
304,37.971,0.274193,6817.077148
305,38.096,0.275644,6817.749023
306,38.221,0.274718,6817.963379
307,38.347,0.273442,6819.264648
308,38.471,0.274343,6817.534180
309,38.597,0.275919,6817.661133
310,38.721,0.274318,6817.934570
311,38.847,0.272866,6817.505371
312,38.972,0.274142,6817.992676
313,39.096,0.275394,6818.264160
314,39.222,0.274042,6818.234863
315,39.347,0.272991,6819.235352
316,39.472,0.274443,6818.477539
317,39.596,0.276169,6817.905762
318,39.721,0.274593,6818.176758
319,39.846,0.272966,6818.963867
320,39.972,0.274017,6818.605469
321,40.096,0.275118,6817.932129
322,40.222,0.274568,6818.631836
323,40.346,0.273392,6819.507813
324,40.471,0.274968,6818.904297
325,40.597,0.276445,6818.604492
326,40.721,0.272316,6819.634766
327,40.846,0.273792,6819.546875
328,40.971,0.274693,6819.119629
329,41.097,0.275969,6819.060547
330,41.221,0.274868,6819.345215
331,41.347,0.273492,6818.089355
332,41.471,0.274117,6817.632813
333,41.596,0.276420,6818.360840
334,41.721,0.275294,6817.118164
335,41.846,0.273041,6816.816895
336,41.971,0.274092,6817.303711
337,42.097,0.276320,6816.476563
338,42.221,0.274868,6817.176758
339,42.346,0.272816,6817.662109
340,42.471,0.273842,6817.177246
341,42.596,0.275819,6816.934570
342,42.721,0.275168,6817.206055
343,42.846,0.274193,6818.088867
344,42.971,0.274293,6817.992188
345,43.096,0.276044,6817.476563
346,43.221,0.275369,6817.234375
347,43.346,0.273267,6816.991699
348,43.471,0.274042,6817.447754
349,43.596,0.276219,6817.391602
350,43.721,0.275168,6817.962891
351,43.846,0.274268,6817.990234
352,43.971,0.274643,6818.418945
353,44.096,0.275994,6817.206055
354,44.221,0.275369,6817.116699
355,44.346,0.273617,6817.264160
356,44.471,0.274268,6818.632324
357,44.596,0.276044,6818.205566
358,44.721,0.275519,6818.905762
359,44.846,0.274067,6817.331055
360,44.971,0.274042,6818.390137
361,45.096,0.275744,6818.790039
362,45.221,0.275118,6819.060547
363,45.346,0.273642,6818.447266
364,45.471,0.274393,6818.875977
365,45.596,0.275819,6818.661133
366,45.721,0.275143,6818.975586
367,45.846,0.273642,6818.360840
368,45.971,0.273592,6818.175781
369,46.096,0.276395,6819.275391
370,46.221,0.276270,6819.702637
371,46.346,0.273592,6819.818359
372,46.471,0.273842,6818.905273
373,46.596,0.276144,6819.305664
374,46.721,0.275694,6819.206543
375,46.846,0.274518,6819.147461
376,46.971,0.274117,6818.390137
377,47.096,0.275569,6819.089355
378,47.221,0.275969,6819.420898
379,47.346,0.274142,6819.362793
380,47.471,0.273992,6820.032227
381,47.596,0.275744,6819.304199
382,47.721,0.276495,6819.907715
383,47.846,0.274568,6819.119629
384,47.971,0.274218,6819.634766
385,48.097,0.276069,6819.391113
386,48.221,0.275619,6818.576172
387,48.346,0.274167,6818.818359
388,48.471,0.273667,6819.333008
389,48.596,0.275118,6819.461914
390,48.721,0.276395,6820.304199
391,48.846,0.274693,6818.946289
392,48.971,0.273817,6819.945801
393,49.096,0.275969,6818.518555
394,49.221,0.276295,6818.214844
395,49.346,0.274468,6818.273926
396,49.471,0.274017,6819.148438
397,49.596,0.275944,6818.418945
398,49.721,0.276169,6818.390625
399,49.846,0.274568,6818.304199
400,49.971,0.274368,6818.546387
401,50.096,0.275894,6818.605957
402,50.220,0.276970,6818.090332
403,50.346,0.274868,6818.002441
404,50.471,0.274643,6818.692383
405,50.596,0.275994,6817.992188
406,50.721,0.276520,6818.604980
407,50.846,0.275419,6818.177246
408,50.971,0.273942,6818.576660
409,51.096,0.276445,6818.147461
410,51.221,0.277070,6817.576172
411,51.346,0.273992,6818.517090
412,51.471,0.274117,6818.275391
413,51.596,0.275544,6819.732910
414,51.721,0.277095,6819.333984
415,51.846,0.275118,6818.632324
416,51.971,0.274543,6818.916992
417,52.096,0.276119,6819.216797
418,52.221,0.276795,6818.546875
419,52.346,0.274368,6817.817871
420,52.471,0.274618,6818.362793
421,52.596,0.275944,6818.060547
422,52.721,0.276995,6818.876953
423,52.846,0.275594,6818.302734
424,52.971,0.274518,6819.061035
425,53.096,0.275669,6818.790039
426,53.221,0.276620,6818.846191
427,53.346,0.276044,6818.215820
428,53.471,0.275569,6819.431152
429,53.596,0.275594,6819.431641
430,53.720,0.277396,6818.818848
431,53.846,0.275719,6818.643555
432,53.970,0.275118,6818.273926
433,54.095,0.275819,6818.644531
434,54.220,0.276520,6818.702148
435,54.346,0.275719,6819.759766
436,54.470,0.274968,6819.585449
437,54.595,0.275494,6819.004395
438,54.720,0.277220,6819.917480
439,54.845,0.276019,6819.558594
440,54.971,0.274593,6819.616211
441,55.095,0.276495,6820.490234
442,55.221,0.277596,6820.072266
443,55.346,0.275944,6820.472168
444,55.471,0.274268,6820.131348
445,55.595,0.275869,6819.801270
446,55.720,0.277321,6820.014160
447,55.846,0.275469,6820.315430
448,55.970,0.274643,6819.800293
449,56.096,0.275494,6820.832031
450,56.221,0.277521,6821.802246
451,56.345,0.276094,6820.713867
452,56.470,0.274918,6820.383789
453,56.595,0.275043,6819.412598
454,56.720,0.278322,6818.217773
455,56.845,0.276695,6818.673340
456,56.970,0.274743,6818.041016
457,57.095,0.275844,6818.673340
458,57.221,0.277721,6818.244141
459,57.345,0.277170,6817.702148
460,57.470,0.275168,6817.974121
461,57.595,0.275669,6817.556152
462,57.721,0.277846,6814.876465
463,57.845,0.276720,6815.031738
464,57.970,0.274793,6814.759277
465,58.095,0.275719,6815.546387
466,58.220,0.277496,6814.730469
467,58.345,0.277120,6815.088867
468,58.470,0.275444,6815.303711
469,58.595,0.276069,6815.573730
470,58.720,0.277446,6816.545410
471,58.845,0.276745,6815.788574
472,58.971,0.275594,6815.729492
473,59.095,0.275369,6816.573730
474,59.220,0.277821,6815.517578
475,59.345,0.276670,6815.944336
476,59.471,0.274718,6814.816895
477,59.595,0.275319,6815.275391
478,59.721,0.277471,6815.816406
479,59.845,0.276495,6815.234863
480,59.970,0.274818,6816.361328
481,60.095,0.276169,6815.575684
482,60.220,0.277696,6817.545410
483,60.345,0.277321,6816.457520
484,60.470,0.275969,6816.089844
485,60.595,0.275694,6815.418945
486,60.720,0.277821,6815.088867
487,60.846,0.277446,6816.060547
488,60.970,0.275519,6815.845703
489,61.095,0.275544,6815.361328
490,61.220,0.277145,6816.002930
491,61.345,0.276995,6815.204590
492,61.470,0.275219,6816.215332
493,61.595,0.275394,6815.788086
494,61.720,0.276945,6815.874512
495,61.845,0.277421,6815.818359
496,61.970,0.276069,6815.875488
497,62.096,0.275844,6816.270996
498,62.220,0.277396,6817.215332
499,62.345,0.278021,6817.158203
500,62.470,0.274818,6817.286133
501,62.595,0.276695,6817.127930
502,62.720,0.277996,6816.100098
503,62.845,0.277546,6814.642578
504,62.970,0.276670,6813.585449
505,63.095,0.276019,6813.904785
506,63.220,0.277496,6813.332031
507,63.345,0.276920,6813.488281
508,63.470,0.276695,6814.118652
509,63.595,0.275844,6813.818848
510,63.720,0.277245,6812.490234
511,63.845,0.277546,6812.848633
512,63.970,0.276745,6812.847656
513,64.095,0.275944,6812.634277
514,64.220,0.278071,6813.119629
515,64.345,0.278422,6813.605957
516,64.471,0.276545,6812.519531
517,64.595,0.276295,6813.003906
518,64.721,0.278196,6813.275391
519,64.846,0.277746,6813.089844
520,64.970,0.276770,6812.905762
521,65.095,0.275544,6812.904297
522,65.220,0.278121,6811.721680
523,65.345,0.278071,6812.847168
524,65.470,0.276695,6812.519043
525,65.595,0.274843,6813.548340
526,65.720,0.278096,6812.789551
527,65.845,0.278397,6814.516602
528,65.970,0.276470,6814.118652
529,66.095,0.275694,6812.730957
530,66.220,0.277721,6812.546875
531,66.345,0.278472,6812.489258
532,66.471,0.277471,6812.434082
533,66.595,0.275168,6812.673828
534,66.720,0.277471,6812.547363
535,66.845,0.278997,6812.704102
536,66.970,0.277621,6812.702148
537,67.095,0.275544,6812.159668
538,67.220,0.277921,6811.762207
539,67.345,0.278522,6812.675293
540,67.470,0.276995,6812.761230
541,67.595,0.274017,6811.860352
542,67.720,0.278372,6812.217285
543,67.845,0.278422,6811.576660
544,67.970,0.276895,6811.006836
545,68.094,0.276420,6810.609863
546,68.220,0.278372,6811.703613
547,68.345,0.278872,6811.490723
548,68.470,0.277020,6810.978027
549,68.595,0.277145,6812.344727
550,68.720,0.278872,6811.190430
551,68.845,0.278922,6812.401855
552,68.970,0.276695,6810.765137
553,69.094,0.277321,6811.161621
554,69.220,0.278647,6811.974609
555,69.345,0.279197,6812.159668
556,69.469,0.277296,6812.459473
557,69.594,0.277521,6811.249023
558,69.719,0.278071,6812.460449
559,69.845,0.278972,6812.915527
560,69.970,0.277070,6812.702148
561,70.094,0.276645,6813.887695
562,70.219,0.278071,6813.672852
563,70.345,0.278572,6813.730957
564,70.469,0.277471,6813.858398
565,70.594,0.276194,6813.916504
566,70.719,0.277971,6813.798340
567,70.844,0.279072,6812.674805
568,70.969,0.278572,6813.615723
569,71.095,0.276370,6813.741211
570,71.221,0.278472,6813.798340
571,71.345,0.279573,6815.283691
572,71.469,0.277921,6814.770508
573,71.594,0.276270,6814.498535
574,71.719,0.278847,6813.285645
575,71.844,0.279272,6811.860352
576,71.969,0.277270,6811.975586
577,72.094,0.276795,6810.889160
578,72.221,0.278397,6811.249023
579,72.345,0.278972,6811.918457
580,72.469,0.277245,6811.404785
581,72.594,0.276945,6810.008789
582,72.719,0.275494,6810.374512
583,72.844,0.278872,6811.220703
584,72.969,0.277521,6811.947754
585,73.095,0.277070,6811.189941
586,73.219,0.277446,6811.761230
587,73.345,0.278947,6812.159668
588,73.469,0.277446,6812.432129
589,73.594,0.277746,6810.920410
590,73.719,0.278497,6811.462402
591,73.844,0.278922,6811.190430
592,73.969,0.278422,6811.345703
593,74.095,0.277270,6812.859863
594,74.220,0.278797,6812.886230
595,74.344,0.279498,6811.732910
596,74.469,0.278722,6811.918457
597,74.594,0.277120,6810.978516
598,74.719,0.278472,6812.159180
599,74.844,0.279648,6812.190430
600,74.969,0.278046,6811.219727
601,75.094,0.276520,6811.889648
602,75.220,0.277696,6812.188477
603,75.344,0.279473,6812.315430
604,75.469,0.277396,6812.675293
605,75.595,0.276270,6811.345215
606,75.719,0.277621,6813.286133
607,75.844,0.279097,6812.159668
608,75.969,0.277446,6813.042969
609,76.094,0.275994,6812.858887
610,76.219,0.278447,6813.227051
611,76.344,0.278522,6812.344727
612,76.469,0.278372,6812.800293
613,76.595,0.277020,6813.926270
614,76.719,0.278071,6812.742676
615,76.844,0.278872,6813.343262
616,76.969,0.278121,6813.013184
617,77.094,0.277195,6812.558105
618,77.219,0.278597,6812.558105
619,77.344,0.279197,6811.830566
620,77.469,0.277971,6812.316895
621,77.595,0.277821,6812.285645
622,77.719,0.278096,6813.526855
623,77.844,0.278697,6813.468750
624,77.969,0.277921,6813.226563
625,78.094,0.276995,6812.014648
626,78.219,0.278672,6812.500488
627,78.344,0.279673,6811.956055
628,78.469,0.277070,6812.440918
629,78.595,0.277496,6812.471680
630,78.719,0.279022,6812.228027
631,78.844,0.279348,6812.258789
632,78.969,0.277696,6812.258301
633,79.094,0.276495,6811.898438
634,79.219,0.278572,6812.655273
635,79.346,0.279498,6812.382324
636,79.469,0.277996,6811.927246
637,79.594,0.276945,6809.777344
638,79.719,0.277946,6809.679688
639,79.844,0.279348,6809.378906
640,79.969,0.277421,6809.504395
641,80.094,0.276795,6808.894043
642,80.219,0.278572,6808.778320
643,80.344,0.278947,6809.260742
