序号,时间(s),电压(V)
1,0.024,1.2083437946022186
2,0.028,1.0491504056064365
3,0.032,0.9036631841785135
4,0.036,0.7795007496335203
5,0.04,0.674466060645328
6,0.044,0.5782518343716643
7,0.048,0.47763491213600834
8,0.052,0.3628000681507576
9,0.056,0.23221242752777468
10,0.06,0.09420337534171405
11,0.064,-0.03521148408379702
12,0.068,-0.1373242935258743
13,0.072,-0.1965838043665234
14,0.076,-0.20514308756250238
15,0.08,-0.1645659179788636
16,0.084,-0.084351317567403
17,0.088,0.02169882316517894
18,0.092,0.1393081823375844
19,0.096,0.2558900879805339
20,0.1,0.360439681006937
21,0.104,0.4422500860772538
22,0.108,0.49047693020437283
23,0.112,0.4958459482377915
24,0.116,0.45384745101101176
25,0.12,0.36730466426904834
26,0.124,0.24661099974082695
27,0.128,0.10770661614493623
28,0.132,-0.03077641559999653
29,0.136,-0.14996422701909784
30,0.14,-0.23279763392690483
31,0.144,-0.26656485798259966
32,0.148,-0.24626224230402124
33,0.152,-0.17765584382157074
34,0.156,-0.07796523566614866
35,0.16,0.027245988497286443
36,0.164,0.11047341903639869
37,0.168,0.1496668305922459
38,0.172,0.13380330841355154
39,0.176,0.06476868270043867
40,0.18,-0.04470712110062769
41,0.184,-0.1759149784670791
42,0.188,-0.3098917360946485
43,0.192,-0.4319758151430173
44,0.196,-0.533780390218454
45,0.2,-0.6122544352465968
46,0.204,-0.6666516563878211
47,0.208,-0.6951014196675146
48,0.212,-0.6927327546247983
49,0.216,-0.6526400297495628
50,0.22,-0.5694921166329417
51,0.224,-0.44398722532645757
52,0.228,-0.2856760145415764
53,0.232,-0.1124680058790027
54,0.236,0.053164994768831644
55,0.24,0.18983364192318133
56,0.244,0.2826905228191409
57,0.248,0.3268325904380812
58,0.252,0.32752349297695177
59,0.256,0.2973501967229788
60,0.26,0.2516656278637801
61,0.264,0.20421724910130679
62,0.268,0.16447596706629058
63,0.272,0.13716243773559902
64,0.276,0.12334954976044595
65,0.28,0.12189969227309966
66,0.284,0.13026610682350168
67,0.288,0.14459529175754735
68,0.292,0.15983540083148776
69,0.296,0.1705974930435391
70,0.3,0.17288058413993626
71,0.304,0.1659709878434852
72,0.308,0.1534423989974705
73,0.312,0.14249759659390354
74,0.316,0.14164999480019
75,0.32,0.1574168191142102
76,0.324,0.19109489821080117
77,0.328,0.2369142460261895
78,0.332,0.28270025920693803
79,0.336,0.31324520274760165
80,0.34,0.31519111185027215
81,0.344,0.2813966681020787
82,0.348,0.21319787645492919
83,0.352,0.12016937195582132
84,0.356,0.017896625445479167
85,0.36,-0.0754421030246068
86,0.364,-0.14289570760557657
87,0.368,-0.17234094331357208
88,0.372,-0.15938914814262473
89,0.376,-0.1089437838005485
90,0.38,-0.03459476022668393
91,0.384,0.044398239320217366
92,0.388,0.10767070100592151
93,0.392,0.13826055322153635
94,0.396,0.12559767627200497
95,0.4,0.06640764523934387
96,0.404,-0.03596433504003106
