序号,时间(s),电压(V)
1,0.024,13.637328511488455
2,0.028,8.571456069965286
3,0.032,4.023600303461657
4,0.036,0.39225222573571533
5,0.04,-2.1041699195882932
6,0.044,-3.4509583365696925
7,0.048,-3.814286303642187
8,0.052,-3.482010109866491
9,0.056,-2.7867185486722716
10,0.06,-2.031577881875393
11,0.064,-1.4345565150329467
12,0.068,-1.0991544886074405
13,0.072,-1.0142326445369427
14,0.076,-1.0811856336536316
15,0.08,-1.1610583493044397
16,0.084,-1.1283571790055433
17,0.088,-0.915577981153494
18,0.092,-0.5351531158031527
19,0.096,-0.07331478331969371
20,0.1,0.34039516429423067
21,0.104,0.5775921253272839
22,0.108,0.5554959947478721
23,0.112,0.26642050584800114
24,0.116,-0.21869145010171456
25,0.12,-0.7741763590762029
26,0.124,-1.2616204787525116
27,0.128,-1.5738110170035418
28,0.132,-1.6650454740653573
29,0.136,-1.5590178743578975
30,0.14,-1.3343043675960067
31,0.144,-1.093862119978603
32,0.148,-0.9286589235077481
33,0.152,-0.8875722789118532
34,0.156,-0.9641450978517692
35,0.16,-1.1042080694186422
36,0.164,-1.2298605222501346
37,0.168,-1.2695251856402496
38,0.172,-1.1830240316020626
39,0.176,-0.9741468637683376
40,0.18,-0.6880025597723705
41,0.184,-0.39430601031529444
42,0.188,-0.16181377283841653
43,0.192,-0.033760976988242736
44,0.196,-0.015171135961214655
45,0.2,-0.07728899181077821
46,0.204,-0.17570625060864561
47,0.208,-0.27280074507508245
48,0.212,-0.35435582869261795
49,0.216,-0.43384954607368226
50,0.22,-0.5433480327181591
51,0.224,-0.714750226466794
52,0.228,-0.9587032098299535
53,0.232,-1.2503906850441064
54,0.236,-1.5296137042516942
55,0.24,-1.7166023777189978
56,0.244,-1.7379824249827416
57,0.248,-1.5532619365692686
58,0.252,-1.1726243147466202
59,0.256,-0.6603903231942273
60,0.26,-0.12267756017516208
61,0.264,0.3185652416903736
62,0.268,0.5588995182772203
63,0.272,0.541837414022144
64,0.276,0.2754389957482098
65,0.28,-0.17112096023480408
66,0.284,-0.689257809196362
67,0.288,-1.1625476832469528
68,0.292,-1.4976436016267716
69,0.296,-1.6460897988466063
70,0.3,-1.6117519169488688
71,0.304,-1.4416335349606286
72,0.308,-1.2027975387698968
73,0.312,-0.9544382836012109
74,0.316,-0.7268629840829459
75,0.32,-0.5155768806337313
76,0.324,-0.2917289435200045
77,0.328,-0.023589410826833843
78,0.332,0.30042262534703884
79,0.336,0.656988131406749
80,0.34,0.9881653049422935
81,0.344,1.218452264609919
82,0.348,1.2837454388780478
83,0.352,1.1606183157865588
84,0.356,0.8824464509612271
85,0.36,0.5342266018950727
86,0.364,0.22709376344393054
87,0.368,0.06165985355926565
88,0.372,0.09338117209729611
89,0.376,0.31211456767012324
90,0.38,0.6432567803357301
91,0.384,0.9715455504551452
92,0.388,1.180966928717015
93,0.392,1.1966116797910487
94,0.396,1.0118769272641053
95,0.4,0.6903518864359441
96,0.404,0.3425563090561015
97,0.408,0.08711615822197785
98,0.412,0.010240292896876078
99,0.416,0.1364695515080401
100,0.42,0.41984626169285005
101,0.424,0.7591873837449303
102,0.428,1.0332705573336776
103,0.432,1.1431305076452292
104,0.436,1.045041225755665
105,0.44,0.7623988211643195
106,0.444,0.3743382687442098
107,0.448,-0.012296417228088271
108,0.452,-0.29674506187627436
109,0.456,-0.41340273283471396
110,0.46,-0.3482034727198521
111,0.464,-0.13755061905578164
112,0.468,0.14968113143293002
113,0.472,0.43959326545638966
114,0.476,0.678586551377604
115,0.48,0.8467886265993809
116,0.484,0.9557562523233858
117,0.488,1.0333728266667839
118,0.492,1.1037740327285561
119,0.496,1.1714288015462595
120,0.5,1.2163018365959783
121,0.504,1.2025032347058395
122,0.508,1.0967532903888515
123,0.512,0.8876558792493893
124,0.516,0.5961243845890947
125,0.52,0.27213341024108023
126,0.524,-0.02037013047735087
127,0.528,-0.2237149987879744
128,0.532,-0.3036641625969185
129,0.536,-0.25737210856942305
130,0.54,-0.11081072690619674
131,0.544,0.09122074519856525
132,0.548,0.2977724039722464
133,0.552,0.4634467251189734
134,0.556,0.5572131918090143
135,0.56,0.5672081492611895
136,0.564,0.5005424958918853
137,0.568,0.37822115817271984
138,0.572,0.2274105334574987
139,0.576,0.07434756883012884
140,0.58,-0.06021934881894815
141,0.584,-0.16344830771428043
142,0.588,-0.23172412361044042
143,0.592,-0.2706465654017063
144,0.596,-0.2923197829204237
145,0.6,-0.30958853393227165
146,0.604,-0.32949854066511186
147,0.608,-0.3497030696935428
